2026-04-06T08:30:38Z	INFO	webhooks.resource.validate	validation/validation.go:125	validation passed	{"gvk": "apps/v1, Kind=Deployment", "gvr": {"group":"apps","version":"v1","resource":"deployments"}, "namespace": "stock-trading", "name": "user-service", "operation": "CREATE", "uid": "d75e2dd8-10ca-477e-8ef5-a6189c4656f3", "user": {"username":"kubernetes-admin","groups":["kubeadm:cluster-admins","system:authenticated"],"extra":{"authentication.kubernetes.io/credential-id":["X509SHA256=42430ec87ff5a25750ed423970d270a9a1e8bcc53863e4a3899edab8e55d057d"]}}, "roles": [], "clusterroles": ["cluster-admin", "system:basic-user", "system:discovery", "system:public-info-viewer"], "resource.gvk": "apps/v1, Kind=Deployment", "kind": "Deployment", "URLParams": "", "action": "validate", "resource": "stock-trading/Deployment/user-service", "operation": "CREATE", "gvk": "apps/v1, Kind=Deployment", "policy": "verify-local-matrix-images"}
2026-04-06T08:30:38Z	INFO	engine.verify	internal/imageverifier.go:129	missing image metadata in annotation	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-matrix-signature-and-attestation", "key": "kyverno.io/verify-images"}
2026-04-06T08:30:38Z	INFO	engine.verify	internal/imageverifier.go:279	cache entry not found	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-matrix-signature-and-attestation", "namespace": "", "policy": "verify-local-matrix-images", "ruleName": "verify-local-matrix-signature-and-attestation", "imageRef": "ttl.sh/stock-trading-matrix-signed-6da392d7586f@sha256:8404ccf820241d03fee2e9c9e5d5b14ac07dc348d23a6ae7639e4172f67c076d"}
2026-04-06T08:30:38Z	INFO	engine.verify	internal/imageverifier.go:335	verifying image signatures	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-matrix-signature-and-attestation", "image": "ttl.sh/stock-trading-matrix-signed-6da392d7586f@sha256:8404ccf820241d03fee2e9c9e5d5b14ac07dc348d23a6ae7639e4172f67c076d", "attestors": 1, "attestations": 1}
2026-04-06T08:30:40Z	INFO	engine.verify	internal/imageverifier.go:517	image attestors verification succeeded	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-matrix-signature-and-attestation", "verifiedCount": 1, "requiredCount": 1}
2026-04-06T08:30:40Z	INFO	engine.verify	internal/imageverifier.go:410	attestation {PredicateType: Type:https://slsa.dev/provenance/v0.2 Attestors:[{Count:<nil> Entries:[{Keys:0xc000498550 Certificates:<nil> Keyless:<nil> Attestor:nil Annotations:map[] Repository:}]}] Conditions:[]}	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-matrix-signature-and-attestation"}
2026-04-06T08:30:42Z	INFO	engine.verify	internal/imageverifier.go:701	checking attestation	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-matrix-signature-and-attestation", "predicates": ["https://slsa.dev/provenance/v0.2"], "image": "ttl.sh/stock-trading-matrix-signed-6da392d7586f@sha256:8404ccf820241d03fee2e9c9e5d5b14ac07dc348d23a6ae7639e4172f67c076d"}
2026-04-06T08:30:42Z	INFO	engine.verify	internal/imageverifier.go:450	image attestations verification succeeded	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-matrix-signature-and-attestation", "verifiedCount": 1, "requiredCount": 1}
2026-04-06T08:30:42Z	INFO	engine.verify	internal/imageverifier.go:475	verified image attestations for ttl.sh/stock-trading-matrix-signed-6da392d7586f@sha256:8404ccf820241d03fee2e9c9e5d5b14ac07dc348d23a6ae7639e4172f67c076d	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-matrix-signature-and-attestation"}
2026-04-06T08:30:42Z	INFO	webhooks.resource.validate	validation/validation.go:125	validation passed	{"gvk": "/v1, Kind=Pod", "gvr": {"group":"","version":"v1","resource":"pods"}, "namespace": "stock-trading", "name": "user-service-65cdc8d6c8-c546n", "operation": "CREATE", "uid": "78db9946-9967-4d1f-aab6-d6e58025af0a", "user": {"username":"system:serviceaccount:kube-system:replicaset-controller","uid":"0af3cdb2-8120-4a19-8180-b04b3eb80ab0","groups":["system:serviceaccounts","system:serviceaccounts:kube-system","system:authenticated"],"extra":{"authentication.kubernetes.io/credential-id":["JTI=7e6dcef4-8744-4b14-88cd-8cc54bd32b86"]}}, "roles": [], "clusterroles": ["system:basic-user", "system:controller:replicaset-controller", "system:discovery", "system:public-info-viewer", "system:service-account-issuer-discovery"], "resource.gvk": "/v1, Kind=Pod", "kind": "Pod", "URLParams": "", "action": "validate", "resource": "stock-trading/Pod/user-service-65cdc8d6c8-c546n", "operation": "CREATE", "gvk": "/v1, Kind=Pod", "policy": "enforce-cve-threshold"}
